#thickness,repetition,unprocessed,length,width,saw blade thickness,edge cutting,number of sub-panels,panel utilization,number of layers,material
16,1,1,1220,2800,4.4,5,21,0.965898,1,Appearances
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
0,3,0,1220,3.8,4,5,-1,0,0,2800,2800,0,NONE
19,0,0,100,100,0,0,17,5,709.4,2020,2020,0,L100_W2020_13
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
20,0,0,100,100,0,0,17,5,5,700,700,0,L100_W700_14
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#layer data(label item shall conform to template label)
#layer number,number of panels,label item
0,1,8
#code (key word - unique in the cutting pattern),BarCode,Material,CutLen,CutWid,Thickness,Length,Width,SideLen1,SideLen2,SideWid1,SideWid2,
L894_W156_4,,Appearances,894,156,16,894,156,E2,E2,E2,E2,
L40_W150_6,,Appearances,40,150,16,40,150,,,,,
L968_W1708_7,,Appearances,968,1708,16,968,1708,,,,,
L968_W450_8,,Appearances,450,968,16,450,968,,,E2,,
L968_W450_9,,Appearances,450,968,16,450,968,,,E2,,
L130_W2750_11,,Appearances,130,2750,16,130,2750,,,E2,,
L100_W2020_13,,Appearances,100,2020,16,100,2020,,,MC,,
L100_W700_14,,Appearances,100,700,16,100,700,E2,E2,E2,E2,
